Year,GDP
Jan-61,10168000000
Apr-61,10392000000
Jul-61,10670000000
Oct-61,10869000000
Jan-62,11174000000
Apr-62,11300000000
Jul-62,11536000000
Oct-62,11806000000
Jan-63,11917000000
Apr-63,12161000000
Jul-63,12361000000
Oct-63,12863000000
Jan-64,13163000000
Apr-64,13379000000
Jul-64,13669000000
Oct-64,13856000000
Jan-65,14341000000
Apr-65,14691000000
Jul-65,15043000000
Oct-65,15583000000
Jan-66,16107000000
Apr-66,16648000000
Jul-66,16866000000
Oct-66,17189000000
Jan-67,17396000000
Apr-67,17960000000
Jul-67,18121000000
Oct-67,18435000000
Jan-68,18852000000
Apr-68,19440000000
Jul-68,19886000000
Oct-68,20391000000
Jan-69,20969000000
Apr-69,21391000000
Jul-69,21806000000
Oct-69,22352000000
Jan-70,22865000000
Apr-70,23071000000
Jul-70,23549000000
Oct-70,23751000000
Jan-71,24097000000
Apr-71,25105000000
Jul-71,25934000000
Oct-71,26632000000
Jan-72,27064000000
Apr-72,28091000000
Jul-72,28623000000
Oct-72,29846000000
Jan-73,31215000000
Apr-73,32538000000
Jul-73,33663000000
Oct-73,35664000000
Jan-74,37356000000
Apr-74,39022000000
Jul-74,40596000000
Oct-74,41332000000
Jan-75,41893000000
Apr-75,43437000000
Jul-75,45582000000
Oct-75,47133000000
Jan-76,49072000000
Apr-76,51567000000
Jul-76,52116000000
Oct-76,53252000000
Jan-77,54973000000
Apr-77,56193000000
Jul-77,57426000000
Oct-77,58987000000
Jan-78,60324000000
Apr-78,62162000000
Jul-78,63794000000
Oct-78,65764000000
Jan-79,67838000000
Apr-79,71029000000
Jul-79,73225000000
Oct-79,75481000000
Jan-80,77439000000
Apr-80,79302000000
Jul-80,81180000000
Oct-80,84826000000
Jan-81,88998000000
Apr-81,91998000000
Jul-81,93205000000
Oct-81,94157000000
Jan-82,95751000000
Apr-82,96629000000
Jul-82,97390000000
Oct-82,98411000000
Jan-83,1.00809E+11
Apr-83,1.03951E+11
Jul-83,1.0724E+11
Oct-83,1.09316E+11
Jan-84,1.1196E+11
Apr-84,1.14888E+11
Jul-84,1.16295E+11
Oct-84,1.18843E+11
Jan-85,1.21524E+11
Apr-85,1.23838E+11
Jul-85,1.25968E+11
Oct-85,1.28697E+11
Jan-86,1.29653E+11
Apr-86,1.30961E+11
Jul-86,1.32555E+11
Oct-86,1.33461E+11
Jan-87,1.38121E+11
Apr-87,1.41855E+11
Jul-87,1.4542E+11
Oct-87,1.4894E+11
Jan-88,1.52737E+11
Apr-88,1.55292E+11
Jul-88,1.57848E+11
Oct-88,1.61017E+11
Jan-89,1.6404E+11
Apr-89,1.67448E+11
Jul-89,1.69783E+11
Oct-89,1.70308E+11
Jan-90,1.72982E+11
Apr-90,1.73906E+11
Jul-90,1.74421E+11
Oct-90,1.74192E+11
Jan-91,1.73502E+11
Apr-91,1.75393E+11
Jul-91,1.76199E+11
Oct-91,1.76679E+11
Jan-92,1.77502E+11
Apr-92,1.78686E+11
Jul-92,1.80415E+11
Oct-92,1.81833E+11
Jan-93,1.83488E+11
Apr-93,1.8634E+11
Jul-93,1.87517E+11
Oct-93,1.89692E+11
Jan-94,1.93164E+11
Apr-94,1.95915E+11
Jul-94,2.00196E+11
Oct-94,2.02697E+11
Jan-95,2.05993E+11
Apr-95,2.07214E+11
Jul-95,2.08244E+11
Oct-95,2.1017E+11
Jan-96,2.11052E+11
Apr-96,2.13226E+11
Jul-96,2.16136E+11
Oct-96,2.1942E+11
Jan-97,2.22937E+11
Apr-97,2.24853E+11
Jul-97,2.28141E+11
Oct-97,2.30995E+11
Jan-98,2.33653E+11
Apr-98,2.33803E+11
Jul-98,2.34718E+11
Oct-98,2.38374E+11
Jan-99,2.4381E+11
Apr-99,2.48543E+11
Jul-99,2.55327E+11
Oct-99,2.60247E+11
Jan-00,2.67547E+11
Apr-00,2.74862E+11
Jul-00,2.80442E+11
Oct-00,2.8322E+11
01-Jan,2.87481E+11
01-Apr,2.88215E+11
01-Jul,2.84701E+11
01-Oct,2.84146E+11
02-Jan,2.8966E+11
02-Apr,2.96473E+11
02-Jul,3.01036E+11
02-Oct,3.06525E+11
03-Jan,3.12522E+11
